,Date,Home Team,Away Team,Referee,AttackRateH,AttackRateA,DefenceRateH,DefenceRateA,DGH,DGA,Home Rank,Away Rank,Avg HST,Avg AST,Avg HF,Avg AF,Avg HC,Avg AC,Avg HR,Avg AR,Avg HY,Avg AY
3558,01-12-19,Leicester,Everton,G Scott,0.757,0.243,0.556,0.444,0.604,0.6,0.6,0.65,0.017,0.012,0.014,0.023,0.01,0.01,0.011,0,0,0.007
3332,09-03-19,Leicester,Fulham,D Coote,0.622,0.378,0.391,0.609,0.188,0.15,0.6,0,0.017,0.009,0.014,0.024,0.011,0.009,0.008,0,0,0.01
3095,22-09-18,Leicester,Huddersfield,D Coote,0.4,0.6,0.52,0.48,0.24,0.6,0.6,0.25,0.027,0.01,0.024,0.048,0.009,0.003,0.014,0,0.014,0.008
2538,04-03-17,Leicester,Hull,M Dean,0.52,0.48,0.48,0.52,0.375,0.342,1,0,0.011,0.013,0.019,0.025,0.02,0.008,0.004,0,0.004,0.005
3607,26-12-19,Leicester,Liverpool,M Oliver,0.549,0.451,0.743,0.257,0.51,0.85,0.6,0.95,0,0.022,0.009,0.016,0.004,0.019,0.02,0,0.005,0.006
3224,26-12-18,Leicester,Man City,M Dean,0.44,0.56,0.57,0.43,0.26,0.742,0.6,1,0.013,0.015,0.009,0.019,0.007,0.016,0.011,0,0.011,0.012
3287,03-02-19,Leicester,Man United,M Dean,0.508,0.492,0.45,0.55,0.365,0.433,0.6,0.95,0.014,0.019,0.023,0.018,0.015,0.004,0.019,0,0.019,0.022
3365,12-04-19,Leicester,Newcastle,C Kavanagh,0.694,0.306,0.474,0.526,0.552,0.317,0.6,0.55,0.01,0.014,0.009,0.018,0.004,0.005,0.008,0,0.008,0.014
3583,14-12-19,Leicester,Norwich,A Madley,0.728,0.272,0.444,0.556,0.698,0.625,0.6,0,0.013,0.011,0.02,0.035,0.028,0.009,0.011,0,0,0.025
3633,11-01-20,Leicester,Southampton,L Mason,0.644,0.356,0.583,0.417,0.406,0.7,0.6,0.25,0.012,0.034,0.016,0.037,0.004,0.009,0.01,0.034,0,0.017
2933,24-02-18,Leicester,Stoke,M Oliver,0.65,0.35,0.39,0.61,0.583,0.233,0.45,0.4,0.02,0.006,0.016,0.031,0.025,0.002,0.004,0,0.004,0.016
1633,11/22/2014,Leicester,Sunderland,R Madley,0.6,0.4,0.45,0.55,0.115,0.417,0,0.35,0.012,0.021,0.038,0.031,0.016,0.023,0.012,0,0.012,0.021
3471,21-09-19,Leicester,Tottenham,P Tierney,0.474,0.526,0.846,0.154,0.271,0.758,0.6,0.85,0.024,0.019,0.038,0.039,0.024,0.006,0.007,0,0.007,0.016
