,Date,Home Team,Away Team,Referee,AttackRateH,AttackRateA,DefenceRateH,DefenceRateA,DGH,DGA,Home Rank,Away Rank,Avg HST,Avg AST,Avg HF,Avg AF,Avg HC,Avg AC,Avg HR,Avg AR,Avg HY,Avg AY
3550,30-11-19,Newcastle,Man City,C Kavanagh,0.426,0.574,0.824,0.176,0.177,0.775,0.4,1,0.009,0.036,0.008,0.015,0.003,0.025,0.006,0,0.006,0.013
3499,06-10-19,Newcastle,Man United,M Dean,0.519,0.481,0.821,0.179,0.438,0.717,0.4,0.75,0.006,0.014,0.027,0.028,0.011,0.017,0.006,0,0.019,0.023
3664,01-02-20,Newcastle,Norwich,M Atkinson,0.633,0.367,0.593,0.407,0.417,0.508,0.4,0,0.012,0.013,0.016,0.03,0.016,0.024,0.009,0,0.009,0.005
3576,08-12-19,Newcastle,Southampton,D Coote,0.667,0.333,0.721,0.279,0.448,0.625,0.4,0.25,0.016,0.015,0.021,0.041,0.007,0.029,0.033,0,0.005,0.019
2704,16-09-17,Newcastle,Stoke,S Attwell,0.66,0.34,0.32,0.68,0.469,0.4,0,0.4,0.01,0.019,0.031,0.033,0.021,0.015,0.034,0,0.02,0.008
2200,3/20/2016,Newcastle,Sunderland,M Atkinson,0.63,0.37,0.34,0.66,0.583,0.333,0.3,0.25,0.017,0.012,0.021,0.013,0.004,0.009,0.004,0,0.017,0.005
2883,13-01-18,Newcastle,Swansea,G Scott,0.59,0.41,0.48,0.52,0.542,0.592,0,0.3,0.01,0.017,0.018,0.021,0.008,0.01,0.01,0.033,0,0.017
3044,11-08-18,Newcastle,Tottenham,M Atkinson,0.65,0.35,0.37,0.63,0.323,0.367,0.55,0.9,0.008,0.026,0.029,0.039,0.01,0.016,0.008,0,0.015,0.018
3455,31-08-19,Newcastle,Watford,G Scott,0.76,0.24,0.813,0.188,0.677,0.683,0.4,0.5,0.018,0.015,0.013,0.034,0.019,0.016,0.007,0,0.014,0.025
3008,28-04-18,Newcastle,West Brom,D Coote,0.67,0.33,0.39,0.61,0.354,0.225,0,0.55,0.004,0.006,0.011,0.023,0.009,0.002,0,0,0.004,0.014
3516,27-10-19,Newcastle,Wolves,K Friend,0.473,0.527,0.829,0.171,0.26,0.742,0.4,0.7,0.006,0.022,0.017,0.041,0.008,0.016,0.012,0,0.012,0.014
3556,01-12-19,Norwich,Arsenal,P Tierney,0.5,0.5,0.78,0.22,0.219,0.758,0,0.8,0.023,0.028,0.016,0.025,0.018,0.03,0.011,0,0.011,0.007
3493,05-10-19,Norwich,Aston Villa,A Madley,0.542,0.458,0.667,0.333,0.375,0.675,0,0,0.016,0.055,0.032,0.048,0.028,0.017,0.013,0,0.006,0.023
3643,18-01-20,Norwich,Bournemouth,P Tierney,0.658,0.342,0.714,0.286,0.625,0.608,0,0.35,0.012,0.01,0.017,0.021,0.008,0.01,0.01,0,0.01,0.011
1224,10/26/2013,Norwich,Cardiff,M Jones,0.67,0.33,0.54,0.46,0.365,0.358,0.5,0,0.031,0.017,0.017,0.027,0.035,0.005,0,0,0.006,0.007
3441,24-08-19,Norwich,Chelsea,M Atkinson,0.579,0.421,0.722,0.278,0.469,0.675,0,0.9,0.018,0.04,0.023,0.028,0.003,0.025,0.007,0,0.007,0.008
3625,01-01-20,Norwich,Crystal Palace,J Moss,0.464,0.536,0.786,0.214,0.365,0.683,0,0.45,0.01,0.01,0.021,0.019,0.004,0.011,0.01,0,0.025,0
2053,12-12-15,Norwich,Everton,M Atkinson,0.52,0.48,0.54,0.46,0.417,0.525,0,0.5,0.005,0.012,0.017,0.014,0.012,0.01,0.011,0,0.005,0
1317,12/26/2013,Norwich,Fulham,J Moss,0.63,0.38,0.29,0.71,0.344,0.325,0.5,0.45,0.008,0.026,0.026,0.023,0.012,0.009,0.011,0,0.016,0
1354,1/18/2014,Norwich,Hull,H Webb,0.43,0.57,0.44,0.56,0.229,0.55,0.5,0,0.01,0,0.014,0.034,0.022,0.017,0,0,0.005,0.011
1975,03-10-15,Norwich,Leicester,M Clattenburg,0.57,0.43,0.46,0.54,0.469,0.442,0,0.35,0.006,0.023,0.009,0.011,0.045,0.023,0.006,0,0,0.008
2123,1/23/2016,Norwich,Liverpool,L Mason,0.59,0.41,0.42,0.58,0.458,0.458,0,0.75,0.012,0.023,0.017,0.029,0.006,0.006,0.01,0,0,0.006
3466,14-09-19,Norwich,Man City,K Friend,0.437,0.563,0.865,0.135,0.448,0.85,0,1,0.01,0.038,0.019,0.021,0.009,0.048,0,0,0.02,0.008
3519,27-10-19,Norwich,Man United,S Attwell,0.518,0.482,0.844,0.156,0.458,0.85,0,0.75,0.009,0.048,0.028,0.027,0.003,0.027,0.012,0,0.012,0.014
3434,17-08-19,Norwich,Newcastle,S Attwell,0.739,0.261,0.889,0.111,0.458,0.642,0,0.4,0.03,0.016,0.024,0.036,0.023,0.016,0.015,0,0.008,0.026
3577,08-12-19,Norwich,Sheffield United,S Hooper,0.524,0.476,0.882,0.118,0.448,0.842,0,0,0.011,0.012,0.012,0.029,0.022,0.002,0.033,0,0,0.026
1923,8/22/2015,Norwich,Stoke,M Dean,0.49,0.51,0.54,0.46,0.448,0.575,0,0.6,0.025,0.005,0.04,0.016,0.028,0,0.021,0,0.029,0.008
2013,07-11-15,Norwich,Swansea,M Clattenburg,0.62,0.38,0.47,0.53,0.438,0.45,0,0.65,0.015,0,0.025,0.018,0.013,0.005,0.012,0,0.006,0
3613,28-12-19,Norwich,Tottenham,K Friend,0.611,0.389,0.615,0.385,0.688,0.758,0,0.85,0.005,0.025,0.021,0.022,0.009,0.013,0,0,0.015,0.018
3530,08-11-19,Norwich,Watford,A Marriner,0.633,0.367,0.776,0.224,0.24,0.583,0,0.5,0.015,0.008,0.015,0.034,0.026,0.01,0.006,0.042,0.006,0.014
2154,2/13/2016,Norwich,West Ham,M Jones,0.66,0.34,0.39,0.61,0.458,0.4,0,0.45,0.007,0.019,0.026,0.021,0.006,0.006,0.018,0,0.009,0.01
3595,21-12-19,Norwich,Wolves,P Bankes,0.442,0.558,0.836,0.164,0.354,0.717,0,0.7,0.019,0.015,0.013,0.032,0.007,0.025,0.011,0,0.011,0.025
3437,18-08-19,Sheffield United,Crystal Palace,D Coote,0.48,0.52,1,0,0.271,0.775,0,0.45,0.011,0.021,0.042,0.036,0.026,0.013,0.023,0,0.023,0.009
3444,24-08-19,Sheffield United,Leicester,A Madley,0.5,0.5,0.968,0.032,0.5,0.783,0,0.6,0.011,0.01,0.028,0.019,0.022,0.013,0.007,0,0.007,0
3463,14-09-19,Sheffield United,Southampton,L Mason,0.808,0.192,0.737,0.263,0.583,0.633,0,0.25,0.014,0.033,0.024,0.021,0.036,0.018,0,0,0.007,0.008
3480,28-09-19,Sheffield United,Liverpool,A Taylor,0.571,0.429,0.905,0.095,0.458,0.817,0,0.95,0.006,0.018,0.018,0.011,0.017,0.014,0.006,0,0.006,0.008
3509,21-10-19,Sheffield United,Arsenal,M Dean,0.579,0.421,0.769,0.231,0.521,0.775,0,0.8,0.006,0.013,0.022,0.033,0.019,0.033,0.025,0,0.025,0.029
3525,02-11-19,Sheffield United,Burnley,S Hooper,0.565,0.435,0.756,0.244,0.375,0.7,0,0.3,0.018,0,0.017,0.031,0.018,0.016,0.024,0,0.006,0.014
3548,24-11-19,Sheffield United,Man United,A Marriner,0.667,0.333,0.758,0.242,0.354,0.633,0,0.75,0.023,0.02,0.026,0.025,0.015,0.008,0.006,0,0.006,0.013
3568,05-12-19,Sheffield United,Newcastle,S Attwell,0.642,0.358,0.575,0.425,0.427,0.617,0,0.4,0.016,0.015,0.019,0.014,0.019,0.002,0.011,0,0.011,0
3584,14-12-19,Sheffield United,Aston Villa,P Bankes,0.566,0.434,0.568,0.432,0.594,0.675,0,0,0.008,0,0.019,0.021,0.007,0.005,0.011,0,0.011,0.012
3605,26-12-19,Sheffield United,Watford,D Coote,0.742,0.258,0.475,0.525,0.677,0.575,0,0.5,0.01,0.007,0.02,0.018,0.02,0.002,0.02,0,0.005,0.018
3629,10-01-20,Sheffield United,West Ham,M Oliver,0.616,0.384,0.629,0.371,0.719,0.808,0,0.55,0.007,0.007,0.019,0.013,0.015,0.006,0.005,0,0.005,0
3653,21-01-20,Sheffield United,Man City,L Mason,0.46,0.54,0.673,0.327,0.354,0.867,0,1,0.002,0.017,0.022,0.027,0.01,0.027,0.01,0,0.019,0.017
3672,09-02-20,Sheffield United,Bournemouth,J Moss,0.516,0.484,0.642,0.358,0.219,0.65,0,0.35,0.194,0.006,0.016,0.016,0.016,0.008,0.009,0,0.009,0.011
3209,16-12-18,Southampton,Arsenal,C Kavanagh,0.44,0.56,0.46,0.54,0.448,0.517,0.2,0.75,0.019,0.015,0.023,0.024,0.01,0.012,0.011,0,0.016,0.006
2043,05-12-15,Southampton,Aston Villa,A Taylor,0.46,0.54,0.48,0.52,0.552,0.592,0.7,0.2,0.014,0.008,0.008,0.022,0.024,0.01,0.006,0,0.005,0.013
3470,20-09-19,Southampton,Bournemouth,C Kavanagh,0.368,0.632,0.838,0.162,0.198,0.808,0.25,0.35,0.02,0.014,0.019,0.027,0.012,0.015,0.007,0,0.007,0.024
3089,17-09-18,Southampton,Brighton,A Taylor,0.71,0.29,0.22,0.78,0.521,0.367,0.2,0.3,0.017,0.019,0.024,0.039,0.003,0.012,0.014,0,0.014,0.024
3049,12-08-18,Southampton,Burnley,G Scott,0.38,0.62,0.46,0.54,0.438,0.675,0.2,0.7,0.011,0.032,0.026,0.03,0.026,0.016,0.015,0,0,0.009
3296,09-02-19,Southampton,Cardiff,M Atkinson,0.593,0.407,0.475,0.525,0.51,0.317,0.2,0,0.016,0.01,0.024,0.024,0.016,0.004,0.005,0,0.014,0.016
3498,06-10-19,Southampton,Chelsea,P Tierney,0.558,0.442,0.667,0.333,0.521,0.875,0.25,0.9,0.01,0.032,0.018,0.043,0.009,0.011,0.006,0,0,0.008
3611,28-12-19,Southampton,Crystal Palace,A Madley,0.608,0.392,0.822,0.178,0.271,0.617,0.25,0.45,0.013,0.007,0.023,0.016,0.027,0.009,0,0,0.005,0.012
3534,09-11-19,Southampton,Everton,P Tierney,0.491,0.509,0.8,0.2,0.365,0.708,0.25,0.65,0.009,0.021,0.025,0.031,0.013,0.023,0.018,0,0.006,0.007
3318,27-02-19,Southampton,Fulham,A Taylor,0.571,0.429,0.352,0.648,0.469,0.425,0.2,0,0.009,0.012,0.023,0.025,0.014,0.008,0.009,0,0,0.005
3417,12-05-19,Southampton,Huddersfield,L Probert,0.623,0.377,0.393,0.607,0.25,0.092,0.2,0.25,0.006,0.008,0.011,0.01,0.007,0.005,0,0,0,0.005
2615,4/29/2017,Southampton,Hull,M Dean,0.69,0.31,0.39,0.61,0.344,0.208,0.75,0,0.004,0.003,0.013,0.023,0.011,0.01,0.008,0,0,0.014
3510,25-10-19,Southampton,Leicester,A Marriner,0.5,0.5,0.864,0.136,0.344,0.7,0.25,0.6,0.009,0.065,0.007,0.033,0.005,0.019,0,0,0,0
3435,17-08-19,Southampton,Liverpool,A Marriner,0.552,0.448,0.931,0.069,0.479,0.758,0.25,0.95,0.011,0.032,0.026,0.02,0.016,0.03,0.015,0,0.015,0.009
3239,30-12-18,Southampton,Man City,P Tierney,0.52,0.48,0.53,0.47,0.417,0.55,0.2,1,0.01,0.021,0.02,0.022,0.007,0.018,0.005,0,0.01,0.018
3450,31-08-19,Southampton,Man United,M Dean,0.606,0.394,0.909,0.091,0.25,0.642,0.25,0.75,0.007,0.04,0.043,0.022,0.006,0.009,0.007,0,0.007,0.017
3134,27-10-18,Southampton,Newcastle,C Kavanagh,0.53,0.47,0.39,0.61,0.635,0.658,0.2,0.55,0.012,0,0.02,0.033,0.019,0.005,0.019,0,0,0.007
3565,04-12-19,Southampton,Norwich,K Friend,0.638,0.362,0.754,0.246,0.292,0.617,0.25,0,0.014,0.012,0.023,0.017,0.014,0.002,0.011,0,0.005,0.006
2943,03-03-18,Southampton,Stoke,A Taylor,0.44,0.56,0.44,0.56,0.552,0.567,0.65,0.4,0.013,0.009,0.012,0.025,0.028,0.008,0.004,0.03,0,0.005
2665,12-08-17,Southampton,Swansea,M Jones,0.5,0.5,0.42,0.58,0.313,0.433,0.65,0.3,0.008,0,0.026,0.043,0.043,0,0,0,0.015,0.009
3335,09-03-19,Southampton,Tottenham,K Friend,0.387,0.613,0.484,0.516,0.344,0.617,0.2,0.9,0.009,0.015,0.024,0.017,0.002,0.018,0.008,0,0.017,0.01
3555,30-11-19,Southampton,Watford,M Oliver,0.547,0.453,0.78,0.22,0.438,0.65,0.25,0.5,0.017,0.012,0.012,0.025,0.015,0.018,0.006,0,0.006,0
2745,21-10-17,Southampton,West Brom,G Scott,0.72,0.28,0.41,0.59,0.531,0.425,0.65,0.55,0.018,0.009,0.021,0.022,0.021,0.008,0.012,0,0,0.007
3585,14-12-19,Southampton,West Ham,M Atkinson,0.636,0.364,0.785,0.215,0.417,0.608,0.25,0.55,0.005,0.015,0.017,0.032,0.012,0.019,0.011,0,0.005,0.019
3370,13-04-19,Southampton,Wolves,J Moss,0.5,0.5,0.56,0.44,0.49,0.8,0.2,0,0.012,0.006,0.019,0.014,0.007,0.016,0.008,0,0.004,0.014
3258,13-01-19,Tottenham,Man United,M Dean,0.588,0.412,0.431,0.569,0.625,0.667,0.9,0.95,0.028,0.027,0.014,0.017,0.016,0.008,0.024,0,0.005,0.011
3323,02-03-19,Tottenham,Arsenal,A Taylor,0.524,0.476,0.373,0.627,0.5,0.358,0.9,0.75,0.007,0.013,0.023,0.027,0.006,0.008,0.004,0,0.013,0.01
3426,10-08-19,Tottenham,Aston Villa,C Kavanagh,0.538,0.462,0.778,0.222,0.313,0.708,0.85,0,0.026,0.021,0.034,0.03,0.046,0,0.015,0,0.008,0
3554,30-11-19,Tottenham,Bournemouth,L Mason,0.673,0.327,0.63,0.37,0.75,0.75,0.85,0.35,0.014,0.024,0.02,0.03,0.01,0.02,0.006,0,0,0.013
3599,26-12-19,Tottenham,Brighton,G Scott,0.538,0.462,0.638,0.362,0.469,0.767,0.85,0.2,0.013,0.018,0.018,0.02,0.02,0.004,0.02,0,0.02,0.012
3572,07-12-19,Tottenham,Burnley,K Friend,0.603,0.397,0.75,0.25,0.354,0.658,0.85,0.3,0.019,0.004,0.023,0.019,0.002,0.002,0.016,0,0.005,0.006
3115,06-10-18,Tottenham,Cardiff,M Dean,0.7,0.3,0.35,0.65,0.469,0.417,0.9,0,0.024,0.027,0.017,0.031,0.018,0.006,0.013,0,0.014,0.008
3598,22-12-19,Tottenham,Chelsea,A Taylor,0.526,0.474,0.667,0.333,0.448,0.8,0.85,0.9,0.003,0.011,0.017,0.025,0.007,0.012,0.016,0,0.021,0.019
3464,14-09-19,Tottenham,Crystal Palace,C Pawson,0.45,0.55,0.844,0.156,0.448,0.792,0.85,0.45,0.017,0.029,0.045,0.033,0.012,0.009,0,0,0.027,0.016
3418,12-05-19,Tottenham,Everton,A Marriner,0.576,0.424,0.33,0.67,0.51,0.492,0.9,0.65,0.006,0.024,0.014,0.022,0.012,0.007,0,0,0,0.009
3054,18-08-18,Tottenham,Fulham,A Taylor,0.45,0.55,0.38,0.62,0.417,0.408,0.9,0,0.041,0.016,0.024,0.016,0.016,0.007,0.015,0.053,0,0
3371,13-04-19,Tottenham,Huddersfield,L Mason,0.761,0.239,0.268,0.732,0.563,0.217,0.9,0.25,0.011,0.003,0.015,0.021,0.007,0.004,0.008,0,0.008,0.01
2437,12/14/2016,Tottenham,Hull,A Marriner,0.77,0.23,0.4,0.6,0.292,0.35,0.9,0,0.025,0.019,0.012,0.034,0.012,0.012,0.011,0,0,0.013
3299,10-02-19,Tottenham,Leicester,M Oliver,0.503,0.497,0.52,0.48,0.594,0.633,0.9,0.6,0.012,0.028,0.018,0.008,0.004,0.018,0.004,0,0.014,0.005
3636,11-01-20,Tottenham,Liverpool,M Atkinson,0.501,0.499,0.817,0.183,0.51,0.917,0.85,0.95,0.01,0.025,0.007,0.018,0.009,0.007,0.01,0.034,0,0.012
3669,02-02-20,Tottenham,Man City,M Dean,0.447,0.553,0.722,0.278,0.573,1,0.85,1,0.007,0.016,0.013,0.028,0.004,0.012,0.005,0,0.009,0.016
3258,13-01-19,Tottenham,Man United,M Dean,0.59,0.41,0.43,0.57,0.625,0.667,0.9,0.95,0.028,0.027,0.014,0.017,0.016,0.008,0.024,0,0.005,0.011
3448,25-08-19,Tottenham,Newcastle,M Dean,0.468,0.532,0.906,0.094,0.344,0.808,0.85,0.4,0.007,0.015,0.025,0.016,0.019,0.019,0.007,0,0.014,0.017
3656,22-01-20,Tottenham,Norwich,C Kavanagh,0.638,0.363,0.61,0.39,0.51,0.608,0.85,0,0.007,0.007,0.02,0.015,0.015,0.006,0.005,0,0,0.006
3535,09-11-19,Tottenham,Sheffield United,G Scott,0.536,0.464,0.895,0.105,0.24,0.792,0.85,0,0.015,0.017,0.013,0.023,0.01,0.01,0.018,0,0.012,0.014
3485,28-09-19,Tottenham,Southampton,G Scott,0.508,0.492,0.9,0.1,0.5,0.783,0.85,0.25,0.013,0.027,0.011,0.045,0.017,0.017,0.006,0,0,0.015
2815,09-12-17,Tottenham,Stoke,R East,0.51,0.49,0.41,0.59,0.313,0.475,0.95,0.4,0.03,0.012,0.023,0.022,0.029,0.014,0.005,0.038,0.005,0
2705,16-09-17,Tottenham,Swansea,M Dean,0.49,0.51,0.43,0.57,0.417,0.533,0.95,0.3,0.027,0,0.026,0.027,0.033,0.003,0.034,0,0.007,0.024
3505,19-10-19,Tottenham,Watford,C Kavanagh,0.66,0.34,0.667,0.333,0.51,0.583,0.85,0.5,0.006,0.009,0.011,0.024,0.03,0.005,0.012,0,0.025,0.022
2786,25-11-17,Tottenham,West Brom,M Jones,0.67,0.33,0.3,0.7,0.344,0.367,0.95,0.55,0.014,0.008,0.02,0.033,0.02,0,0.006,0,0.006,0.027
3395,27-04-19,Tottenham,West Ham,A Taylor,0.69,0.31,0.422,0.578,0.385,0.283,0.9,0.4,0.008,0.019,0.004,0.014,0.003,0.012,0.008,0,0,0.009
293,3/19/2011,Tottenham,West Ham,M Dean,0.56,0.44,0.28,0.72,0.354,0.458,0.85,0.2,0.077,0.036,0.023,0.058,0.029,0.009,0.01,0,0,0.048
3234,29-12-18,Tottenham,Wolves,S Attwell,0.67,0.33,0.33,0.67,0.76,0.533,0.9,0,0.008,0.014,0.013,0.016,0.014,0.016,0,0,0.016,0.012
3328,03-03-19,Watford,Leicester,J Moss,0.617,0.383,0.434,0.566,0.594,0.617,0.35,0.6,0.011,0.006,0.023,0.023,0.002,0.009,0.004,0,0.022,0.005
3354,02-04-19,Watford,Fulham,R East,0.647,0.353,0.433,0.567,0.49,0.208,0.35,0,0.015,0.02,0.018,0.009,0.011,0.007,0.013,0,0.013,0.01
3468,15-09-19,Watford,Arsenal,A Taylor,0.558,0.442,0.844,0.156,0.354,0.708,0.5,0.8,0.024,0.019,0.033,0.012,0.021,0.003,0,0,0.02,0.024
3612,28-12-19,Watford,Aston Villa,S Hooper,0.545,0.455,0.6,0.4,0,0.583,0.5,0,0.015,0.007,0.029,0.02,0.013,0.007,0,0,0.015,0.006
3513,26-10-19,Watford,Bournemouth,M Dean,0.753,0.247,0.667,0.333,0.667,0.642,0.5,0.35,0.009,0.022,0.03,0.022,0.014,0.027,0.006,0,0.031,0.022
3425,10-08-19,Watford,Brighton,C Pawson,0.619,0.381,0.933,0.067,0.323,0.675,0.5,0.2,0.011,0.016,0.039,0.036,0.016,0.007,0.015,0,0,0.009
3546,23-11-19,Watford,Burnley,P Tierney,0.45,0.55,0.771,0.229,0.313,0.833,0.5,0.3,0.011,0.02,0.028,0.033,0.018,0.013,0.017,0,0,0.02
3205,15-12-18,Watford,Cardiff,A Madley,0.62,0.38,0.36,0.64,0.49,0.292,0.35,0,0.021,0.012,0.013,0.012,0.012,0,0.011,0,0,0
3527,02-11-19,Watford,Chelsea,A Taylor,0.467,0.533,0.645,0.355,0.448,0.867,0.5,0.9,0.009,0.042,0.017,0.013,0.003,0.016,0.024,0,0.024,0.014
3573,07-12-19,Watford,Crystal Palace,M Atkinson,0.49,0.51,0.81,0.19,0.167,0.675,0.5,0.45,0.008,0,0.029,0.038,0.014,0.005,0.016,0,0.022,0.013
3665,01-02-20,Watford,Everton,C Pawson,0.562,0.438,0.603,0.397,0.375,0.633,0.5,0.65,0.005,0.016,0.027,0.028,0.008,0.008,0.009,0,0.009,0.011
3135,27-10-18,Watford,Huddersfield,M Dean,0.63,0.37,0.43,0.57,0.5,0.308,0.35,0.25,0.018,0.03,0.019,0.035,0.008,0.008,0.019,0,0.006,0.014
3165,24-11-18,Watford,Liverpool,J Moss,0.49,0.51,0.48,0.52,0.375,0.5,0.35,0.85,0.003,0.028,0.024,0.033,0.013,0.013,0.018,0.04,0,0
3182,04-12-18,Watford,Man City,P Tierney,0.55,0.45,0.46,0.54,0.396,0.558,0.35,1,0.019,0.028,0.008,0.02,0.007,0.028,0.022,0,0,0.007
3597,22-12-19,Watford,Man United,L Mason,0.56,0.44,0.745,0.255,0.396,0.633,0.5,0.75,0.008,0.03,0.03,0.025,0.007,0.012,0.016,0,0.016,0.006
3235,29-12-18,Watford,Newcastle,R East,0.69,0.31,0.44,0.56,0.729,0.417,0.35,0.55,0.012,0.007,0.029,0.036,0.006,0.013,0,0,0.005,0.012
2046,05-12-15,Watford,Norwich,M Dean,0.5,0.5,0.43,0.57,0.354,0.517,0,0,0.019,0.004,0.021,0.024,0.01,0.002,0.006,0,0.016,0.019
3494,05-10-19,Watford,Sheffield United,A Marriner,0.61,0.39,0.868,0.132,0.417,0.708,0.5,0,0.006,0.014,0.016,0.017,0.02,0.02,0.013,0,0,0.015
3387,23-04-19,Watford,Southampton,M Dean,0.686,0.314,0.316,0.684,0.625,0.25,0.35,0.2,0.008,0.011,0.014,0.024,0.005,0.007,0.004,0,0.02,0.009
2755,28-10-17,Watford,Stoke,M Oliver,0.7,0.3,0.41,0.59,0.531,0.2,0.2,0.4,0,0.009,0.022,0.024,0.022,0.003,0,0,0.025,0.029
2570,01-04-17,Watford,Sunderland,L Probert,0.68,0.32,0.51,0.49,0.302,0.367,0.4,0.2,0.022,0.009,0.018,0.016,0.025,0.018,0.009,0,0.004,0.016
2866,30-12-17,Watford,Swansea,M Atkinson,0.72,0.28,0.52,0.48,0.479,0.3,0.2,0.3,0.01,0.014,0.024,0.028,0.002,0.017,0,0,0.02,0.011
3639,18-01-20,Watford,Tottenham,M Oliver,0.667,0.333,0.553,0.447,0.708,0.667,0.5,0.85,0.005,0.017,0.022,0.027,0.006,0.006,0.01,0,0.01,0.017
2946,03-03-18,Watford,West Brom,P Tierney,0.68,0.32,0.49,0.51,0.396,0.308,0.2,0.55,0.009,0.006,0.017,0.023,0.008,0.011,0.004,0.03,0.009,0
3445,24-08-19,Watford,West Ham,C Kavanagh,0.418,0.582,0.96,0.04,0.292,0.875,0.5,0.55,0.011,0.05,0.03,0.034,0.025,0.022,0.007,0,0.007,0.008
3623,01-01-20,Watford,Wolves,A Madley,0.5,0.5,0.776,0.224,0.24,0.792,0.5,0.7,0.007,0.014,0.021,0.013,0.009,0.015,0.01,0,0.015,0.006
3302,22-02-19,West Ham,Fulham,L Mason,0.679,0.321,0.445,0.555,0.323,0.2,0.4,0,0.016,0.016,0.017,0.021,0.023,0,0.004,0,0.004,0.005
3341,16-03-19,West Ham,Huddersfield,J Moss,0.612,0.388,0.434,0.566,0.135,0.283,0.4,0.25,0.011,0.015,0.01,0.028,0.009,0.015,0.013,0,0,0.01
3579,09-12-19,West Ham,Arsenal,M Dean,0.548,0.452,0.761,0.239,0.385,0.742,0.55,0.8,0.011,0.012,0.023,0.014,0.01,0.007,0.011,0,0.011,0
3579,09-12-19,West Ham,Arsenal,M Dean,0.55,0.45,0.76,0.24,0.385,0.742,0.55,0.8,0.011,0.012,0.023,0.014,0.01,0.007,0.011,0,0.011,0
2137,02-02-16,West Ham,Aston Villa,J Moss,0.58,0.42,0.42,0.58,0.219,0.35,0.45,0.2,0.014,0.006,0.015,0.022,0.01,0.01,0.01,0,0.014,0
3626,01-01-20,West Ham,Bournemouth,G Scott,0.47,0.53,0.717,0.283,0.115,0.758,0.55,0.35,0.018,0.007,0.005,0.026,0.02,0.004,0.01,0,0.005,0.011
3666,01-02-20,West Ham,Brighton,M Oliver,0.638,0.363,0.623,0.377,0.479,0.608,0.55,0.2,0.014,0.019,0.013,0.018,0.008,0.012,0.009,0,0.005,0.005
3145,03-11-18,West Ham,Burnley,R East,0.39,0.61,0.44,0.56,0.26,0.592,0.4,0.7,0.03,0.013,0.015,0.023,0.026,0.01,0.006,0,0.006,0.028
3183,04-12-18,West Ham,Cardiff,G Scott,0.71,0.29,0.41,0.59,0.406,0.3,0.4,0,0.03,0.02,0.019,0.025,0.024,0.01,0.022,0,0.005,0.013
3099,23-09-18,West Ham,Chelsea,M Dean,0.79,0.21,0.45,0.55,0.594,0.45,0.4,0.8,0.003,0.029,0.026,0.027,0.003,0.024,0.014,0,0.014,0.008
3495,05-10-19,West Ham,Crystal Palace,M Oliver,0.717,0.283,0.7,0.3,0.365,0.608,0.55,0.45,0.013,0.018,0.025,0.02,0.006,0.006,0.013,0,0.019,0.015
3645,18-01-20,West Ham,Everton,A Marriner,0.553,0.447,0.652,0.348,0.24,0.633,0.55,0.65,0.015,0.01,0.019,0.027,0.015,0.013,0.01,0,0.005,0
2445,12/17/2016,West Ham,Hull,L Mason,0.6,0.4,0.44,0.56,0.281,0.325,0.7,0,0.016,0.019,0.024,0.021,0.023,0.014,0.011,0,0.011,0.025
3614,28-12-19,West Ham,Leicester,D Coote,0.532,0.468,0.774,0.226,0.448,0.817,0.55,0.6,0.011,0.029,0.03,0.009,0.012,0.011,0,0,0.021,0.006
3659,29-01-20,West Ham,Liverpool,J Moss,0.51,0.49,0.857,0.143,0.375,0.917,0.55,0.95,0.01,0.017,0.01,0.013,0.006,0.015,0.01,0,0.01,0
3421,10-08-19,West Ham,Man City,M Dean,0.698,0.302,0.893,0.107,0.365,0.642,0.55,1,0.011,0.047,0.016,0.043,0.003,0.003,0.015,0,0.015,0.018
3477,22-09-19,West Ham,Man United,A Taylor,0.625,0.375,0.909,0.091,0.573,0.708,0.55,0.75,0.02,0.014,0.019,0.027,0.009,0.021,0.014,0.048,0.014,0.016
3526,02-11-19,West Ham,Newcastle,S Attwell,0.486,0.514,0.674,0.326,0.344,0.742,0.55,0.4,0.018,0.038,0.021,0.018,0.018,0.008,0.024,0,0.012,0.007
3456,31-08-19,West Ham,Norwich,P Tierney,0.615,0.385,0.865,0.135,0.51,0.683,0.55,0,0.029,0.015,0.04,0.031,0.025,0.006,0.007,0,0.014,0.008
3514,26-10-19,West Ham,Sheffield United,D Coote,0.582,0.418,0.881,0.119,0.458,0.708,0.55,0,0.012,0.017,0.015,0.027,0.027,0.011,0.006,0,0.012,0.014
3404,04-05-19,West Ham,Southampton,S Attwell,0.568,0.432,0.451,0.549,0.417,0.333,0.4,0.2,0.012,0.003,0.003,0.019,0.003,0.012,0.004,0.054,0.004,0.005
2993,16-04-18,West Ham,Stoke,M Oliver,0.59,0.41,0.42,0.58,0.5,0.45,0.5,0.4,0.013,0.02,0.022,0.038,0.018,0.002,0.008,0,0.008,0.014
2726,30-09-17,West Ham,Swansea,R East,0.44,0.56,0.46,0.54,0.292,0.658,0.5,0.3,0.014,0.005,0.036,0.037,0.006,0.003,0.006,0,0.02,0.015
3540,23-11-19,West Ham,Tottenham,M Oliver,0.443,0.557,0.765,0.235,0.417,0.742,0.55,0.85,0.011,0.024,0.024,0.035,0.008,0.018,0.017,0,0.017,0.013
